"ID","REF"
854,"4"
856,"4"
857,"4"
858,"3"
866,"3"
867,"3"
868,"3"
870,"6"
872,"4"
873,"4"
874,"4"
885,"3"
888,"3"
889,"3"
891,"4"
892,"6"
893,"4"
894,"4"
896,"4"
897,"4"
898,"4"
899,"4"
901,"3"
903,"4"
904,"4"
905,"6"
906,"4"
907,"4"
908,"3"
912,"4"
916,"4"
917,"3"
919,"6"
920,"4"
922,"6"
924,"4"
927,"3"
930,"4"
931,"3"
933,"3"
934,"3"
935,"6"
936,"4"
937,"3"
939,"4"
940,"4"
941,"4"
944,"6"
947,"3"
948,"4"
951,"4"
956,"3"
957,"4"
958,"3"
960,"3"
962,"4"
963,"4"
964,"4"
965,"6"
973,"3"
974,"6"
975,"3"
976,"3"
977,"4"
980,"3"
981,"3"
982,"3"
983,"4"
984,"6"
989,"3"
991,"4"
992,"6"
995,"6"
997,"6"
998,"6"
1000,"4"
1002,"3"
1005,"3"
1009,"3"
1011,"3"
1014,"4"
1016,"4"
1024,"4"
1034,"3"
1035,"4"
1036,"3"
1037,"4"
1038,"3"
1039,"4"
1045,"4"
1046,"3"
1047,"4"
1050,"4"
1051,"4"
1052,"4"
1053,"4"
1054,"3"
1058,"4"
1059,"4"
1066,"3"
1067,"3"
1069,"3"
1070,"4"
1071,"4"
1072,"3"
1073,"3"
1074,"4"
1075,"3"
1081,"3"
1082,"4"
1083,"3"
1084,"4"
1,"6"
4,"4"
5,"4"
6,"4"
7,"6"
10,"4"
11,"4"
16,"6"
17,"6"
18,"6"
21,"6"
22,"6"
39,"6"
40,"6"
42,"4"
44,"4"
45,"4"
46,"6"
59,"4"
60,"4"
61,"4"
69,"6"
70,"6"
73,"6"
76,"4"
89,"6"
102,"6"
103,"6"
105,"6"
123,"6"
125,"6"
127,"4"
128,"6"
135,"6"
136,"6"
137,"6"
138,"6"
140,"6"
142,"6"
143,"6"
144,"6"
145,"4"
146,"6"
149,"3"
150,"6"
152,"6"
154,"6"
155,"6"
156,"4"
158,"6"
159,"4"
170,"4"
172,"6"
176,"4"
178,"4"
209,"6"
210,"4"
211,"4"
213,"4"
214,"6"
215,"4"
221,"6"
226,"6"
228,"4"
229,"6"
230,"6"
231,"6"
234,"6"
240,"6"
241,"4"
242,"4"
243,"4"
246,"6"
247,"4"
248,"4"
258,"4"
259,"6"
260,"6"
261,"6"
262,"6"
265,"4"
266,"6"
267,"6"
268,"6"
270,"4"
271,"4"
273,"6"
274,"4"
275,"6"
277,"6"
280,"4"
282,"6"
283,"4"
284,"6"
285,"4"
286,"6"
306,"4"
309,"4"
310,"6"
311,"4"
312,"6"
313,"4"
314,"6"
317,"4"
318,"6"
319,"6"
321,"4"
323,"6"
324,"6"
343,"6"
344,"4"
345,"6"
347,"6"
353,"4"
354,"4"
357,"4"
359,"4"
361,"4"
377,"4"
382,"6"
383,"4"
389,"6"
390,"6"
391,"4"
392,"6"
394,"6"
395,"6"
396,"6"
397,"4"
398,"4"
400,"4"
401,"4"
405,"4"
406,"6"
407,"4"
408,"6"
410,"6"
411,"4"
412,"6"
414,"6"
415,"4"
431,"4"
432,"6"
433,"6"
434,"4"
435,"4"
437,"4"
438,"4"
440,"6"
441,"4"
442,"4"
443,"4"
446,"6"
452,"6"
455,"4"
457,"4"
459,"6"
461,"4"
462,"4"
467,"4"
468,"4"
470,"6"
475,"4"
476,"4"
479,"4"
480,"6"
481,"4"
489,"6"
492,"4"
493,"6"
499,"4"
501,"4"
507,"4"
509,"4"
510,"6"
512,"4"
513,"4"
514,"4"
515,"4"
517,"4"
522,"6"
524,"6"
530,"6"
538,"4"
539,"4"
540,"4"
541,"6"
549,"6"
550,"6"
552,"6"
558,"4"
559,"6"
565,"6"
566,"6"
567,"4"
568,"4"
569,"4"
570,"4"
579,"6"
580,"6"
581,"5"
596,"6"
599,"4"
601,"6"
603,"6"
604,"6"
606,"6"
607,"6"
613,"4"
614,"4"
615,"4"
616,"6"
617,"6"
618,"4"
619,"6"
623,"4"
624,"6"
625,"4"
626,"4"
628,"4"
645,"6"
647,"6"
648,"6"
656,"4"
657,"6"
658,"6"
659,"3"
679,"6"
682,"6"
683,"4"
684,"4"
697,"6"
710,"6"
711,"6"
714,"4"
715,"6"
716,"4"
717,"4"
725,"4"
728,"6"
729,"4"
730,"6"
731,"4"
732,"6"
746,"6"
747,"4"
758,"6"
770,"6"
771,"4"
781,"6"
785,"6"
787,"4"
788,"4"
789,"4"
806,"4"
812,"4"
813,"4"
815,"6"
816,"6"
832,"4"
833,"4"
834,"6"
835,"4"
840,"4"
843,"4"
851,"4"
854,"6"
856,"6"
857,"6"
858,"4"
866,"4"
867,"4"
868,"4"
872,"6"
873,"6"
874,"6"
885,"4"
888,"4"
889,"4"
891,"6"
893,"6"
894,"6"
896,"6"
897,"6"
898,"6"
901,"4"
903,"6"
904,"6"
906,"6"
908,"4"
916,"5"
917,"4"
920,"6"
924,"6"
927,"4"
930,"6"
931,"4"
933,"4"
934,"4"
936,"6"
937,"4"
939,"6"
940,"5"
941,"6"
947,"4"
948,"6"
951,"6"
956,"4"
957,"5"
958,"4"
960,"4"
962,"6"
963,"6"
964,"6"
973,"4"
975,"4"
976,"4"
980,"4"
981,"4"
982,"4"
983,"6"
989,"4"
991,"6"
1000,"6"
1002,"4"
1005,"4"
1009,"4"
1011,"4"
1014,"6"
1016,"6"
1024,"6"
1034,"4"
1035,"6"
1036,"4"
1037,"6"
1038,"4"
1039,"6"
1045,"6"
1046,"4"
1047,"6"
1050,"6"
1051,"6"
1053,"6"
1054,"4"
1058,"6"
1059,"6"
1066,"4"
1067,"4"
1069,"4"
1070,"6"
1071,"6"
1072,"4"
1073,"4"
1074,"6"
1075,"4"
1081,"4"
1082,"6"
1083,"4"
1084,"6"
4,"6"
6,"6"
10,"6"
11,"6"
42,"6"
44,"6"
45,"6"
59,"6"
60,"6"
76,"6"
145,"6"
149,"4"
156,"6"
159,"6"
170,"6"
176,"6"
178,"6"
210,"6"
211,"6"
213,"6"
215,"6"
228,"6"
241,"6"
242,"6"
243,"6"
247,"6"
248,"6"
258,"6"
265,"6"
270,"6"
271,"6"
274,"6"
280,"6"
283,"6"
285,"6"
306,"6"
309,"6"
311,"6"
313,"6"
317,"6"
321,"6"
344,"6"
353,"6"
354,"6"
357,"6"
359,"6"
361,"6"
377,"6"
383,"6"
391,"6"
397,"6"
398,"6"
400,"6"
401,"6"
405,"6"
407,"6"
411,"6"
415,"6"
431,"6"
434,"6"
435,"6"
437,"6"
438,"6"
441,"6"
442,"6"
443,"6"
455,"6"
457,"6"
461,"6"
462,"6"
467,"6"
468,"6"
475,"6"
476,"6"
479,"6"
481,"6"
492,"6"
499,"6"
501,"6"
507,"6"
509,"6"
512,"6"
513,"6"
514,"6"
515,"6"
517,"6"
538,"6"
539,"6"
540,"6"
558,"6"
567,"6"
568,"6"
569,"6"
570,"6"
599,"6"
613,"6"
615,"6"
623,"6"
625,"6"
626,"6"
628,"6"
656,"6"
659,"4"
683,"6"
684,"6"
714,"6"
716,"6"
717,"6"
725,"6"
729,"6"
731,"6"
747,"6"
787,"6"
788,"6"
789,"6"
806,"6"
812,"6"
813,"6"
832,"6"
833,"6"
835,"6"
840,"6"
843,"6"
851,"6"
858,"6"
866,"6"
867,"6"
868,"6"
885,"6"
888,"6"
889,"6"
901,"6"
908,"6"
916,"6"
917,"6"
927,"6"
931,"6"
933,"6"
934,"6"
937,"6"
940,"6"
947,"6"
956,"6"
957,"6"
958,"6"
960,"6"
975,"6"
976,"6"
980,"6"
981,"6"
982,"6"
989,"6"
1002,"6"
1005,"6"
1009,"6"
1011,"6"
1034,"6"
1036,"6"
1038,"6"
1046,"6"
1054,"6"
1066,"6"
1067,"6"
1069,"6"
1072,"6"
1073,"6"
1075,"6"
1081,"6"
1083,"6"
1,"1"
2,"1"
3,"1"
4,"1"
5,"1"
6,"1"
7,"3"
8,"3"
9,"1"
10,"1"
11,"2"
12,"1"
13,"1"
14,"1"
15,"1"
16,"1"
17,"1"
18,"3"
19,"1"
20,"1"
21,"3"
22,"1"
23,"1"
24,"1"
25,"1"
26,"1"
27,"1"
28,"1"
29,"1"
30,"1"
31,"1"
32,"1"
33,"1"
34,"1"
35,"1"
36,"1"
37,"1"
38,"4"
39,"3"
40,"3"
41,"1"
42,"1"
43,"4"
44,"1"
45,"1"
46,"3"
47,"1"
48,"1"
49,"1"
50,"1"
51,"1"
52,"1"
53,"1"
54,"1"
55,"1"
56,"1"
57,"1"
58,"6"
59,"1"
60,"1"
61,"1"
62,"1"
63,"4"
64,"1"
65,"1"
66,"1"
67,"4"
68,"1"
69,"1"
70,"3"
71,"3"
72,"3"
73,"3"
74,"1"
75,"4"
76,"1"
77,"1"
78,"1"
79,"1"
80,"1"
81,"1"
82,"1"
83,"1"
84,"1"
85,"1"
86,"1"
87,"1"
88,"1"
89,"3"
90,"1"
91,"1"
92,"1"
93,"1"
94,"1"
95,"1"
96,"1"
97,"1"
98,"1"
99,"1"
100,"4"
101,"1"
102,"1"
103,"1"
104,"6"
105,"1"
106,"1"
107,"1"
108,"1"
109,"1"
110,"1"
111,"1"
112,"1"
113,"1"
114,"1"
115,"1"
116,"1"
117,"1"
118,"1"
119,"1"
120,"1"
121,"1"
122,"1"
123,"3"
124,"1"
125,"3"
126,"1"
127,"1"
128,"3"
129,"4"
130,"4"
131,"4"
132,"4"
133,"4"
134,"1"
